Test Code,Test Name,"MRP (in
INR)",Methodology,Specimen Type,Specimen Remarks,Container,Temp.,Frequency,TAT,,,,,,,,,,,,,,
APC75,ALLERGEN - ECZEMA/GIT (VEG) PANEL,6900,IMMUNOCAP SPECIFIC IGE INHOUSE ALLERGEN,SERUM,5ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,4 DAYS,,,,,,,,,,,,,,
APC76,"ALLERGEN - EXTENDED
RHINITIS/ASTHMA PANEL –CHILD",12700,IMMUNOCAP SPECIFIC IGE INHOUSE ALLERGEN,SERUM,5ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,4 DAYS,,,,,,,,,,,,,,
APC77,ALLERGEN - FOOD PANEL (FRUITS 1),5800,IMMUNOCAP SPECIFIC IGE INHOUSE ALLERGEN,SERUM,5ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,4 DAYS,,,,,,,,,,,,,,
APC78,ALLERGEN - FOOD PANEL (FRUITS 2),4700,IMMUNOCAP SPECIFIC IGE INHOUSE ALLERGEN,SERUM,5ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,4 DAYS,,,,,,,,,,,,,,
APC79,ALLERGY ANIMAL PANEL,3500,FEIA,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),"MON,FRI",2 DAYS,,,,,,,,,,,,,,
APC80,ALLERGY COMPREHENSIVE PANEL,9800,FEIA,SERUM,5ML SERUM IN TWO GEL TUBES,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),"MON,FRI",2 DAYS,,,,,,,,,,,,,,
APC81,ALLERGY DRUG PANEL,6300,IMMUNOCAP SPECIFIC IGE INHOUSE ALLERGEN,SERUM,5ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,4 DAYS,,,,,,,,,,,,,,
APC82,ALLERGY DUST PANEL,3500,FEIA,SERUM,5ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),"MON,FRI",2 DAYS,,,,,,,,,,,,,,
APC83,ALLERGY ECZEMA MAXI PANEL,8800,FEIA,SERUM,8ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),"MON,FRI",2 DAYS,,,,,,,,,,,,,,
APC84,ALLERGY ECZEMA MINI PANEL,6050,FEIA,SERUM,5ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),"MON,FRI",2 DAYS,,,,,,,,,,,,,,
APC85,ALLERGY FLEXI PANEL - ANY 10 ALLERGEN,4500,FEIA,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),"MON,FRI",2 DAYS,,,,,,,,,,,,,,
APC86,ALLERGY FLEXI PANEL - ANY 5 ALLERGEN,2800,FEIA,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),"MON,FRI",2 DAYS,,,,,,,,,,,,,,
APC87,ALLERGY FRUIT PANEL,3850,FEIA,SERUM,8ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),"MON,FRI",2 DAYS,,,,,,,,,,,,,,
APC88,ALLERGY MOLD PANEL,4000,FEIA,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),"MON,FRI",2 DAYS,,,,,,,,,,,,,,
APC89,ALLERGY NON VEG FOOD PANEL,4500,FEIA,SERUM,8ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),"MON,FRI",2 DAYS,,,,,,,,,,,,,,
APC90,ALLERGY PAEDIATRIC PANEL,7900,FEIA,SERUM,5ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),"MON,FRI",2 DAYS,,,,,,,,,,,,,,
APC91,ALLERGY PHADIATOP - ADULT,1050,FEIA,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),"MON,WED, FRI",2 DAYS,,,,,,,,,,,,,,
